objectType,prismaObject,sqlObject,createdByMigration,dependsOn,coverage,risk,notes
enum,Art47CodNavLettera,Art47CodNavLettera,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,AttivitaConcessione,AttivitaConcessione,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,AuditEsito,AuditEsito,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,AuthorityLevel,AuthorityLevel,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,AwardingProcedureType,AwardingProcedureType,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,ChecklistProfile,ChecklistProfile,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,ComparativeProcedureStatus,ComparativeProcedureStatus,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,ConcessionObjectType,ConcessionObjectType,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,ConcessionVertical,ConcessionVertical,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,DocumentGapStatus,DocumentGapStatus,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,DocumentoCanale,DocumentoCanale,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,DocumentoDirezione,DocumentoDirezione,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,EffettoTitoloProcedimento,EffettoTitoloProcedimento,20260727_decisione_procedimento_minima,,present-in-history,LOW,Created by existing migration.
enum,EnteStato,EnteStato,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,EnteTipo,EnteTipo,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,EsitoIstruttorioProcedimento,EsitoIstruttorioProcedimento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,EsitoRegolarizzazione,EsitoRegolarizzazione,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,EsitoSopralluogo,EsitoSopralluogo,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,FeeRegime,FeeRegime,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,FonteCriticita,FonteCriticita,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,GravitaCriticita,GravitaCriticita,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,ImportRunStatus,ImportRunStatus,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalFramework,LegalFramework,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalRank,LegalRank,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalRuleCategory,LegalRuleCategory,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
